,Unnamed: 0,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,LAST UPDATE,DATES
715,37,55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",False,False,36,21,15,OPEN,1670519920000,2022-12-08 17:18:40
716,38,62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",False,False,40,26,14,OPEN,1670519746000,2022-12-08 17:15:46
717,39,5,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",False,False,40,26,14,OPEN,1670519872000,2022-12-08 17:17:52
718,40,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",False,False,40,24,15,OPEN,1670519650000,2022-12-08 17:14:10
719,41,61,dublin,HARDWICKE PLACE,Hardwicke Place,"{'lat': 53.357043, 'lng': -6.263232}",False,False,25,25,0,OPEN,1670519514000,2022-12-08 17:11:54
720,42,77,dublin,WOLFE TONE STREET,Wolfe Tone Street,"{'lat': 53.348875, 'lng': -6.267459}",False,False,29,26,3,OPEN,1670519935000,2022-12-08 17:18:55
721,43,4,dublin,GREEK STREET,Greek Street,"{'lat': 53.346874, 'lng': -6.272976}",False,False,20,7,13,OPEN,1670519596000,2022-12-08 17:13:16
722,44,49,dublin,GUILD STREET,Guild Street,"{'lat': 53.347932, 'lng': -6.240928}",False,False,40,20,20,OPEN,1670519918000,2022-12-08 17:18:38
723,45,19,dublin,HERBERT PLACE,Herbert Place,"{'lat': 53.334432, 'lng': -6.245575}",False,False,30,11,19,OPEN,1670519546000,2022-12-08 17:12:26
724,46,7,dublin,HIGH STREET,High Street,"{'lat': 53.343565, 'lng': -6.275071}",False,False,29,27,2,OPEN,1670519338000,2022-12-08 17:08:58
725,47,60,dublin,NORTH CIRCULAR ROAD,North Circular Road,"{'lat': 53.359624, 'lng': -6.260348}",False,False,30,27,3,OPEN,1670519903000,2022-12-08 17:18:23
726,48,102,dublin,WESTERN WAY,Western Way,"{'lat': 53.354929, 'lng': -6.269425}",False,False,40,29,11,OPEN,1670519907000,2022-12-08 17:18:27
727,49,38,dublin,TALBOT STREET,Talbot Street,"{'lat': 53.350974, 'lng': -6.25294}",False,False,40,22,18,OPEN,1670519822000,2022-12-08 17:17:02
728,50,53,dublin,NEWMAN HOUSE,Newman House,"{'lat': 53.337132, 'lng': -6.26059}",False,False,40,31,9,OPEN,1670519569000,2022-12-08 17:12:49
729,51,58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,"{'lat': 53.339218, 'lng': -6.240642}",False,False,40,29,11,OPEN,1670519878000,2022-12-08 17:17:58
730,52,66,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",False,False,40,40,0,OPEN,1670519383000,2022-12-08 17:09:43
731,53,104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",False,False,40,26,14,OPEN,1670519792000,2022-12-08 17:16:32
732,54,101,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",False,False,30,30,0,OPEN,1670519334000,2022-12-08 17:08:54
733,55,115,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",False,False,30,19,11,OPEN,1670519719000,2022-12-08 17:15:19
734,56,47,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",False,False,40,25,15,OPEN,1670519757000,2022-12-08 17:15:57
735,57,117,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",False,False,40,4,36,OPEN,1670513299000,2022-12-08 15:28:19
736,58,8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",False,False,30,20,10,OPEN,1670519920000,2022-12-08 17:18:40
737,59,27,dublin,MOLESWORTH STREET,Molesworth Street,"{'lat': 53.341288, 'lng': -6.258117}",False,False,20,18,2,OPEN,1670519395000,2022-12-08 17:09:55
738,60,16,dublin,GEORGES QUAY,Georges Quay,"{'lat': 53.347508, 'lng': -6.252192}",False,False,20,0,20,OPEN,1670519816000,2022-12-08 17:16:56
739,61,96,dublin,KILMAINHAM LANE,Kilmainham Lane,"{'lat': 53.341805, 'lng': -6.305085}",False,False,30,28,2,OPEN,1670519561000,2022-12-08 17:12:41
740,62,82,dublin,MOUNT BROWN,Mount Brown,"{'lat': 53.341645, 'lng': -6.29719}",False,False,22,8,14,OPEN,1670519345000,2022-12-08 17:09:05
741,63,76,dublin,MARKET STREET SOUTH,Market Street South,"{'lat': 53.342296, 'lng': -6.287661}",False,False,38,13,25,OPEN,1670519936000,2022-12-08 17:18:56
742,64,71,dublin,KEVIN STREET,Kevin Street,"{'lat': 53.337757, 'lng': -6.267699}",False,False,40,35,4,OPEN,1670519889000,2022-12-08 17:18:09
743,65,79,dublin,ECCLES STREET EAST,Eccles Street East,"{'lat': 53.358115, 'lng': -6.265601}",False,False,27,20,7,OPEN,1670519395000,2022-12-08 17:09:55
744,66,69,dublin,GRAND CANAL DOCK,Grand Canal Dock,"{'lat': 53.342638, 'lng': -6.238695}",False,False,40,33,7,OPEN,1670519938000,2022-12-08 17:18:58
745,67,25,dublin,MERRION SQUARE EAST,Merrion Square East,"{'lat': 53.339434, 'lng': -6.246548}",False,False,30,18,12,OPEN,1670519864000,2022-12-08 17:17:44
746,68,51,dublin,YORK STREET WEST,York Street West,"{'lat': 53.339334, 'lng': -6.264699}",False,False,40,25,15,OPEN,1670519549000,2022-12-08 17:12:29
747,69,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,"{'lat': 53.337494, 'lng': -6.26199}",True,False,30,18,12,OPEN,1670519789000,2022-12-08 17:16:29
748,70,59,dublin,DENMARK STREET GREAT,Denmark Street Great,"{'lat': 53.35561, 'lng': -6.261397}",False,False,20,17,3,OPEN,1670519763000,2022-12-08 17:16:03
749,71,95,dublin,ROYAL HOSPITAL,Royal Hospital,"{'lat': 53.343897, 'lng': -6.29706}",False,False,40,39,1,OPEN,1670519919000,2022-12-08 17:18:39
750,72,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),"{'lat': 53.346985, 'lng': -6.297804}",False,False,40,38,2,OPEN,1670519859000,2022-12-08 17:17:39
751,73,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),"{'lat': 53.355954, 'lng': -6.278378}",False,False,36,21,15,OPEN,1670519677000,2022-12-08 17:14:37
752,74,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,"{'lat': 53.337824, 'lng': -6.256035}",False,False,40,35,5,OPEN,1670519794000,2022-12-08 17:16:34
753,75,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),"{'lat': 53.346603, 'lng': -6.296924}",False,False,40,29,9,OPEN,1670519884000,2022-12-08 17:18:04
754,76,22,dublin,TOWNSEND STREET,Townsend Street,"{'lat': 53.345922, 'lng': -6.254614}",False,False,20,9,11,OPEN,1670519912000,2022-12-08 17:18:32
755,77,50,dublin,GEORGES LANE,George's Lane,"{'lat': 53.35023, 'lng': -6.279696}",False,False,40,26,14,OPEN,1670519704000,2022-12-08 17:15:04
756,78,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,"{'lat': 53.356307, 'lng': -6.273717}",False,False,40,32,8,OPEN,1670519856000,2022-12-08 17:17:36
757,79,12,dublin,ECCLES STREET,Eccles Street,"{'lat': 53.359246, 'lng': -6.269779}",False,False,20,9,11,OPEN,1670519685000,2022-12-08 17:14:45
758,80,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,"{'lat': 53.330362, 'lng': -6.265163}",False,False,30,21,9,OPEN,1670519868000,2022-12-08 17:17:48
759,81,78,dublin,MATER HOSPITAL,Mater Hospital,"{'lat': 53.359967, 'lng': -6.264828}",False,False,40,35,5,OPEN,1670519688000,2022-12-08 17:14:48
760,82,2,dublin,BLESSINGTON STREET,Blessington Street,"{'lat': 53.356769, 'lng': -6.26814}",False,False,20,17,3,OPEN,1670519623000,2022-12-08 17:13:43
761,83,75,dublin,JAMES STREET,James Street,"{'lat': 53.343456, 'lng': -6.287409}",False,False,40,28,12,OPEN,1670519638000,2022-12-08 17:13:58
762,84,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,"{'lat': 53.356717, 'lng': -6.256359}",False,False,40,40,0,OPEN,1670519877000,2022-12-08 17:17:57
763,85,26,dublin,MERRION SQUARE WEST,Merrion Square West,"{'lat': 53.339764, 'lng': -6.251988}",True,False,20,1,19,OPEN,1670519669000,2022-12-08 17:14:29
764,86,65,dublin,CONVENTION CENTRE,Convention Centre,"{'lat': 53.34744, 'lng': -6.238523}",True,False,40,36,4,OPEN,1670519913000,2022-12-08 17:18:33
765,87,15,dublin,HARDWICKE STREET,Hardwicke Street,"{'lat': 53.355473, 'lng': -6.264423}",False,False,16,13,3,OPEN,1670519561000,2022-12-08 17:12:41
766,88,86,dublin,PARKGATE STREET,Parkgate Street,"{'lat': 53.347972, 'lng': -6.291804}",False,False,38,29,9,OPEN,1670519887000,2022-12-08 17:18:07
